year,stakeholder_id,stakeholder,interests,obligations,allocated_cash_cost_mln,attributed_receipts_mln,kpi_value,kpi_name,kpi_unit,affected_fuel_t,risks_borne,monetary_mission_loss,weights_used,plan_id,scenario_id,input_fingerprint
2038,launch_providers,Поставщики запусков,Оплаченный график запусков,Соблюдать lead time; транспорт включен в цену топлива,0.0,491.8500000000002,1.0,on_time_accepted_to_order_ratio,share,0.0,Задержки и отклонение топлива; доля 30% — допущение учета,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2038,financier,Финансирующая сторона,CAPEX и финансовая потребность,Финансировать до ввода; не обещать прибыль без выручки,0.0,0.0,0.0,annual_capex,mln_units CAPEX,0.0,Невозвратные инвестиции и дополнительная ликвидность,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2039,operator,Оператор,Обслуживание и ликвидность,"Исполнить договоры, баланс и резерв",2261.566135995499,0.0,0.999999999999997,total_service,share,0.0,"Дефицит, переполнение, затраты ответа",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2039,critical_consumers,Критические потребители,Непрерывность критических миссий,Предоставлять график; приоритет при дефиците,0.0,0.0,1.0000000000000067,critical_service,share,0.0,Критический недоотпуск; денежная оценка отсутствует,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2039,commercial_consumers,Коммерческие потребители,Доступность остаточного топлива,Признать приоритет критических потребителей,0.0,0.0,0.9999999999999786,noncritical_service,share,2.3590018827235326e-12,Первыми несут сокращение сервиса; выручка не задана,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2039,fuel_suppliers,Поставщики топлива,Оплата заказов и TOP,Производство в рамках мощности и договора,0.0,1676.650000000002,0.9999999999999992,annual_arrival_to_order_ratio,share,0.0,"Недопоставка; TOP защищает платеж, но не физический ресурс",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2039,launch_providers,Поставщики запусков,Оплаченный график запусков,Соблюдать lead time; транспорт включен в цену топлива,0.0,491.8500000000009,1.0,on_time_accepted_to_order_ratio,share,0.0,Задержки и отклонение топлива; доля 30% — допущение учета,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2039,financier,Финансирующая сторона,CAPEX и финансовая потребность,Финансировать до ввода; не обещать прибыль без выручки,0.0,0.0,0.0,annual_capex,mln_units CAPEX,0.0,Невозвратные инвестиции и дополнительная ликвидность,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2040,operator,Оператор,Обслуживание и ликвидность,"Исполнить договоры, баланс и резерв",2257.2722067780073,0.0,1.0000000000000075,total_service,share,0.0,"Дефицит, переполнение, затраты ответа",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2040,critical_consumers,Критические потребители,Непрерывность критических миссий,Предоставлять график; приоритет при дефиците,0.0,0.0,1.0000000000000047,critical_service,share,0.0,Критический недоотпуск; денежная оценка отсутствует,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2040,commercial_consumers,Коммерческие потребители,Доступность остаточного топлива,Признать приоритет критических потребителей,0.0,0.0,1.0000000000000129,noncritical_service,share,0.0,Первыми несут сокращение сервиса; выручка не задана,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2040,fuel_suppliers,Поставщики топлива,Оплата заказов и TOP,Производство в рамках мощности и договора,0.0,1676.65,1.0,annual_arrival_to_order_ratio,share,0.0,"Недопоставка; TOP защищает платеж, но не физический ресурс",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2040,launch_providers,Поставщики запусков,Оплаченный график запусков,Соблюдать lead time; транспорт включен в цену топлива,0.0,491.85,1.0,on_time_accepted_to_order_ratio,share,0.0,Задержки и отклонение топлива; доля 30% — допущение учета,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2040,financier,Финансирующая сторона,CAPEX и финансовая потребность,Финансировать до ввода; не обещать прибыль без выручки,0.0,0.0,0.0,annual_capex,mln_units CAPEX,0.0,Невозвратные инвестиции и дополнительная ликвидность,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
